property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
15532537,1483,https://www.zameen.com/Property/d_h_a_dha_phase_6_upper_portion_available_for_rent-15532537-1483-4.html,Upper Portion,130000,DHA Defence,Karachi,Sindh,24.805045,67.064323,3,1 Kanal,For Rent,3,04-19-2019,Malik Brothers Real Estate Consultants,Ashraf,Kanal,1.0,1-5 Kanal
16471901,6693,https://www.zameen.com/Property/federal_b_area_federal_b_area_block_9_ground_floor_flat_is_available_for_sale-16471901-6693-1.html,Flat,15500000,Federal B Area,Karachi,Sindh,24.922442,67.073629,0,4.8 Marla,For Sale,4,06-05-2019,Shani Builders & Developers,Shani,Marla,4.8,0-5 Marla
12859648,517,https://www.zameen.com/Property/rawalpindi_peshawar_road_upper_portion_for_rent-12859648-517-4.html,Upper Portion,36000,Peshawar Road,Rawalpindi,Punjab,33.602664000000004,73.03019599999999,4,10 Marla,For Rent,4,11-10-2018,,,Marla,10.0,5-10 Marla
17264064,1793,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_gulbahar_block_executive_class_11_marla_brand__new_house_for_sale_in_bahria_town_lahore-17264064-1793-1.html,House,22000000,Bahria Town,Lahore,Punjab,31.378774,74.19031600000001,6,11 Marla,For Sale,5,07-13-2019,,,Marla,11.0,10-15 Marla
15150501,6685,https://www.zameen.com/Property/federal_b_area_federal_b_area_block_1_2_bed_room_flat_on_main_street_for_sale-15150501-6685-1.html,Flat,4000000,Federal B Area,Karachi,Sindh,24.915164,67.055476,1,3.1 Marla,For Sale,2,03-19-2019,,,Marla,3.1,0-5 Marla
17062398,3048,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_7_marla_brand_new_duble_unit_house_for_rent_-17062398-3048-4.html,House,45000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393000000001,6,7 Marla,For Rent,5,07-03-2019,Javed Real Estate,Malik Adnan,Marla,7.0,5-10 Marla
11508399,1478,https://www.zameen.com/Property/d_h_a_dha_phase_1_apartment_for_rent-11508399-1478-4.html,Flat,35000,DHA Defence,Karachi,Sindh,24.840571300043003,67.06575036048899,2,4 Marla,For Rent,2,07-18-2019,,,Marla,4.0,0-5 Marla
13565237,3051,https://www.zameen.com/Property/bahria_town_phase_8_bahria_town_phase_8_block_c_11_marla_corner_house_for_sale_in_bahria_town_phase_8__block_c-13565237-3051-1.html,House,20000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.495740999999995,73.074703,6,11 Marla,For Sale,5,02-04-2019,Faisal and Sons Real Estate,Khan,Marla,11.0,10-15 Marla
17164712,8953,https://www.zameen.com/Property/buffer_zone_bufferzone_sector_15_a_3_well_built_portion_available_in_good_location-17164712-8953-4.html,Upper Portion,27000,North Karachi,Karachi,Sindh,24.961072,67.066499,2,4.8 Marla,For Rent,2,07-09-2019,Hussain Associates,Amir Siddique,Marla,4.8,0-5 Marla
13810004,1591,https://www.zameen.com/Property/dha_phase_4_dha_phase_4_block_cc_22_marla_corner_slightly_used_beautiful_bungalow_near_park_good_location-13810004-1591-1.html,House,52500000,DHA Defence,Lahore,Punjab,31.463994,74.379544,6,1.1 Kanal,For Sale,5,01-04-2019,Freedom Estate & Builders,Muhammad Bilal H Sanawar,Kanal,1.1,1-5 Kanal
16742413,8157,https://www.zameen.com/Property/rawalpindi_media_town_a_beautifully_built_portion_at_good_location-16742413-8157-4.html,Lower Portion,35000,Media Town,Rawalpindi,Punjab,33.560887,73.125937,3,11 Marla,For Rent,3,06-21-2019,Al Moeed Estate  Builders,Imran Kayani,Marla,11.0,10-15 Marla
12296675,1407,https://www.zameen.com/Property/islamabad_burma_town_brand_new_3_marla_house_for_sale-12296675-1407-1.html,House,3100000,Burma Town,Islamabad,Islamabad Capital,33.643635,73.125244,2,3 Marla,For Sale,2,10-07-2018,,,Marla,3.0,0-5 Marla
